trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-142.14007188763122,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,False,"{'e': 1.0, 'a': 0.5}",20,0,-141.20563785277233,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'e': 1.0, 'a': 0.5}",25,0,-123.31918460887857,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
4,False,"{'e': 1.0, 'a': 0.5}",30,0,-263.36269868315634,"{0: 13, 1: 2, 2: 11, 3: 0, 4: 4}",0
5,False,"{'e': 1.0, 'a': 0.5}",25,0,-236.98817887279395,"{0: 12, 1: 0, 2: 7, 3: 3, 4: 3}",0
6,False,"{'e': 1.0, 'a': 0.5}",25,0,-107.0694835863511,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,False,"{'e': 1.0, 'a': 0.5}",30,0,-107.37393348352478,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
8,False,"{'e': 1.0, 'a': 0.5}",25,0,-80.11308902920372,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'e': 1.0, 'a': 0.5}",25,0,-217.34987908845847,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
10,False,"{'e': 1.0, 'a': 0.5}",30,0,-72.24535558914376,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,0,-89.60818164538169,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
12,False,"{'e': 1.0, 'a': 0.5}",20,12,-14.383062006831596,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'e': 1.0, 'a': 0.5}",30,0,-230.6709780164917,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 5}",0
14,False,"{'e': 1.0, 'a': 0.5}",25,0,-117.21167067099836,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'e': 1.0, 'a': 0.5}",20,0,-49.5476600632053,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
16,False,"{'e': 1.0, 'a': 0.5}",25,0,-55.049015132250716,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-27.636142605121066,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'e': 1.0, 'a': 0.5}",25,0,-85.75242297714685,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
19,False,"{'e': 1.0, 'a': 0.5}",20,0,-50.22160172701988,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
20,False,"{'e': 1.0, 'a': 0.5}",25,0,-117.41418984740675,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
1,True,"{'e': 1.0, 'a': 0.5}",20,0,-156.58846646040305,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
2,True,"{'e': 1.0, 'a': 0.5}",35,19,-70.36526281736784,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 0}",1
3,True,"{'e': 1.0, 'a': 0.5}",20,0,-33.68901381601026,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-59.89798956221819,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,0,-139.61702715797753,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
6,True,"{'e': 1.0, 'a': 0.5}",20,0,-79.71134693565716,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
7,True,"{'e': 1.0, 'a': 0.5}",20,10,-20.056793668867268,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,True,"{'e': 1.0, 'a': 0.5}",20,0,-65.9766988103746,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
9,True,"{'e': 1.0, 'a': 0.5}",25,0,-178.18681957463068,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
10,True,"{'e': 1.0, 'a': 0.5}",20,0,-57.9015727600475,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
