trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.87436034082262,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.50909673455703,"{0: 7, 1: 5, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.0068658345717,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.08214679372077,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.47395504917441,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.18372556441565,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.525263647436184,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.8362238312529,"{0: 7, 1: 7, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,3,-50.754742666114275,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.07050890860793,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.32909402500798,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.89346302849611,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.12298182402833,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.69022002574633,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-167.11212655989422,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.7268947253791,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-325.1370618262647,"{0: 14, 1: 5, 2: 10, 3: 1, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.470318325525646,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,5,-34.74856345668173,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.01619835076315,"{0: 13, 1: 5, 2: 2, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.10128276804289,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-126.09630405104912,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,13,-87.4278954635408,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-186.02830264176032,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.48073286456983,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.09359913531225,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-38.35022281311138,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.27326476652695,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.43164605805579,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.207708173988266,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
